priority,metric,window,source_metric,label,expression,kind,k,condition_id,repeat,total_samples,defined_samples,unavailable
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,10,M10,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,10,M10,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,10,M01,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,10,M01,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,10,M01,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,10,M00,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,10,M00,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,10,M00,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,12,M11,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,12,M11,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,12,M11,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,12,M10,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,12,M10,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,12,M10,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,12,M01,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,12,M01,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,12,M01,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,12,M00,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,12,M00,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,12,M00,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,14,M11,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,14,M11,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,14,M11,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,14,M10,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,14,M10,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,14,M10,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,14,M01,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,14,M01,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,14,M01,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,14,M00,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,14,M00,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,14,M00,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),A0,condition,2,A0,1,49,48,"[{""sample_id"": ""KYOw02789"", ""fold"": 2, ""condition_id"": ""A0"", ""repeat"": 1, ""status"": ""undefined"", ""reason"": ""single_cluster""}]"
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),A0,condition,2,A0,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),A0,condition,2,A0,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),A0,condition,4,A0,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),A0,condition,4,A0,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),A0,condition,4,A0,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),A0,condition,6,A0,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),A0,condition,6,A0,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),A0,condition,6,A0,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),A0,condition,8,A0,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),A0,condition,8,A0,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),A0,condition,8,A0,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),A0,condition,10,A0,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),A0,condition,10,A0,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),A0,condition,10,A0,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),A0,condition,12,A0,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),A0,condition,12,A0,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),A0,condition,12,A0,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),A0,condition,14,A0,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),A0,condition,14,A0,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),A0,condition,14,A0,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B0,condition,2,B0,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B0,condition,2,B0,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B0,condition,2,B0,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B0,condition,4,B0,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B0,condition,4,B0,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B0,condition,4,B0,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B0,condition,6,B0,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B0,condition,6,B0,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B0,condition,6,B0,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B0,condition,8,B0,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B0,condition,8,B0,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B0,condition,8,B0,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B0,condition,10,B0,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B0,condition,10,B0,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B0,condition,10,B0,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B0,condition,12,B0,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B0,condition,12,B0,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B0,condition,12,B0,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B0,condition,14,B0,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B0,condition,14,B0,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B0,condition,14,B0,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B1,condition,2,B1,1,49,48,"[{""sample_id"": ""KYOw02789"", ""fold"": 2, ""condition_id"": ""B1"", ""repeat"": 1, ""status"": ""undefined"", ""reason"": ""single_cluster""}]"
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B1,condition,2,B1,2,49,48,"[{""sample_id"": ""KYOw02789"", ""fold"": 2, ""condition_id"": ""B1"", ""repeat"": 2, ""status"": ""undefined"", ""reason"": ""single_cluster""}]"
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B1,condition,2,B1,3,49,48,"[{""sample_id"": ""KYOw02789"", ""fold"": 2, ""condition_id"": ""B1"", ""repeat"": 3, ""status"": ""undefined"", ""reason"": ""single_cluster""}]"
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B1,condition,4,B1,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B1,condition,4,B1,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B1,condition,4,B1,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B1,condition,6,B1,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B1,condition,6,B1,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B1,condition,6,B1,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B1,condition,8,B1,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B1,condition,8,B1,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B1,condition,8,B1,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B1,condition,10,B1,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B1,condition,10,B1,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B1,condition,10,B1,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B1,condition,12,B1,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B1,condition,12,B1,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B1,condition,12,B1,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B1,condition,14,B1,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B1,condition,14,B1,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),B1,condition,14,B1,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00,condition,2,M00,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00,condition,2,M00,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00,condition,2,M00,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00,condition,4,M00,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00,condition,4,M00,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00,condition,4,M00,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00,condition,6,M00,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00,condition,6,M00,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00,condition,6,M00,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00,condition,8,M00,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00,condition,8,M00,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00,condition,8,M00,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00,condition,10,M00,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00,condition,10,M00,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00,condition,10,M00,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00,condition,12,M00,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00,condition,12,M00,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00,condition,12,M00,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00,condition,14,M00,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00,condition,14,M00,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00,condition,14,M00,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,2,M00,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,2,M00,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,2,M00,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,2,A0,1,49,48,"[{""sample_id"": ""KYOw02789"", ""fold"": 2, ""condition_id"": ""A0"", ""repeat"": 1, ""status"": ""undefined"", ""reason"": ""single_cluster""}]"
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,2,A0,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,2,A0,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,4,M00,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,4,M00,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,4,M00,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,4,A0,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,4,A0,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,4,A0,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,6,M00,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,6,M00,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,6,M00,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,6,A0,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,6,A0,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,6,A0,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,8,M00,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,8,M00,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,8,M00,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,8,A0,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,8,A0,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,8,A0,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,10,M00,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,10,M00,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,10,M00,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,10,A0,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,10,A0,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,10,A0,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,12,M00,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,12,M00,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,12,M00,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,12,A0,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,12,A0,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,12,A0,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,14,M00,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,14,M00,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,14,M00,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,14,A0,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,14,A0,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - A0,paired,14,A0,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - B0,paired,2,M00,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - B0,paired,2,M00,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - B0,paired,2,M00,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - B0,paired,2,B0,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - B0,paired,2,B0,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - B0,paired,2,B0,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - B0,paired,4,M00,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - B0,paired,4,M00,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - B0,paired,4,M00,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - B0,paired,4,B0,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - B0,paired,4,B0,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - B0,paired,4,B0,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - B0,paired,6,M00,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - B0,paired,6,M00,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - B0,paired,6,M00,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - B0,paired,6,B0,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - B0,paired,6,B0,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - B0,paired,6,B0,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - B0,paired,8,M00,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - B0,paired,8,M00,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - B0,paired,8,M00,3,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - B0,paired,8,B0,1,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - B0,paired,8,B0,2,49,49,[]
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),M00 - B0,paired,8,B0,3,49,49,[]
