subset_index,fold,sample_id,sampling_seed,hdf5_row,pixel_row,pixel_col
73,1,KYOw02702,4073774563,36060,302,251
74,1,KYOw02702,4073774563,36580,308,208
75,1,KYOw02702,4073774563,37084,313,242
76,1,KYOw02702,4073774563,37658,319,224
77,1,KYOw02702,4073774563,38139,324,82
78,1,KYOw02702,4073774563,38646,328,142
79,1,KYOw02702,4073774563,39202,333,237
80,1,KYOw02702,4073774563,39668,338,104
81,1,KYOw02702,4073774563,40077,342,84
82,1,KYOw02702,4073774563,40505,346,86
83,1,KYOw02702,4073774563,41008,350,153
84,1,KYOw02702,4073774563,41482,354,243
85,1,KYOw02702,4073774563,41963,359,85
86,1,KYOw02702,4073774563,42517,363,177
87,1,KYOw02702,4073774563,42927,367,126
88,1,KYOw02702,4073774563,43398,371,149
89,1,KYOw02702,4073774563,43863,376,84
90,1,KYOw02702,4073774563,44307,380,92
91,1,KYOw02702,4073774563,44793,384,133
92,1,KYOw02702,4073774563,45338,389,109
93,1,KYOw02702,4073774563,45801,393,110
94,1,KYOw02702,4073774563,46277,397,110
95,1,KYOw02702,4073774563,46814,401,167
96,1,KYOw02702,4073774563,47265,405,135
97,1,KYOw02702,4073774563,47864,410,126
98,1,KYOw02702,4073774563,48388,414,155
99,1,KYOw02702,4073774563,48976,419,95
100,1,KYOw02702,4073774563,49483,422,180
101,1,KYOw02702,4073774563,49965,426,92
102,1,KYOw02702,4073774563,50358,428,196
103,1,KYOw02702,4073774563,50855,432,108
104,1,KYOw02702,4073774563,51213,434,168
105,1,KYOw02702,4073774563,51715,437,217
106,1,KYOw02702,4073774563,52179,440,224
107,1,KYOw02702,4073774563,52682,444,111
108,1,KYOw02702,4073774563,53159,447,121
109,1,KYOw02702,4073774563,53664,450,157
110,1,KYOw02702,4073774563,54145,453,165
111,1,KYOw02702,4073774563,54723,457,102
112,1,KYOw02702,4073774563,55208,460,88
113,1,KYOw02702,4073774563,55808,463,163
114,1,KYOw02702,4073774563,56322,466,149
115,1,KYOw02702,4073774563,56798,469,97
116,1,KYOw02702,4073774563,57406,472,177
117,1,KYOw02702,4073774563,57812,474,231
118,1,KYOw02702,4073774563,58289,477,180
119,1,KYOw02702,4073774563,58757,480,121
120,1,KYOw02702,4073774563,59291,483,130
121,1,KYOw02702,4073774563,59841,486,155
122,1,KYOw02702,4073774563,60204,488,168
123,1,KYOw02702,4073774563,60737,491,176
124,1,KYOw02702,4073774563,61293,494,207
125,1,KYOw02702,4073774563,61829,497,218
126,1,KYOw02702,4073774563,62297,500,161
127,1,KYOw02702,4073774563,62813,506,212
128,1,KYOw02717,3302635401,19,51,222
129,1,KYOw02717,3302635401,753,61,142
130,1,KYOw02717,3302635401,1543,66,250
131,1,KYOw02717,3302635401,2218,71,129
132,1,KYOw02717,3302635401,2949,75,211
133,1,KYOw02717,3302635401,3665,80,111
134,1,KYOw02717,3302635401,4227,83,181
135,1,KYOw02717,3302635401,4839,87,139
136,1,KYOw02717,3302635401,5305,90,116
137,1,KYOw02717,3302635401,5889,93,210
138,1,KYOw02717,3302635401,6414,96,246
139,1,KYOw02717,3302635401,7060,100,238
140,1,KYOw02717,3302635401,7637,104,161
141,1,KYOw02717,3302635401,8226,107,259
142,1,KYOw02717,3302635401,9011,112,227
143,1,KYOw02717,3302635401,9773,117,174
144,1,KYOw02717,3302635401,10523,122,107
145,1,KYOw02717,3302635401,11124,126,109
146,1,KYOw02717,3302635401,11890,172,255
147,1,KYOw02717,3302635401,12547,177,196
148,1,KYOw02717,3302635401,13342,182,159
149,1,KYOw02717,3302635401,13935,185,197
150,1,KYOw02717,3302635401,14492,188,100
151,1,KYOw02717,3302635401,15094,190,258
152,1,KYOw02717,3302635401,15743,193,241
153,1,KYOw02717,3302635401,16446,197,56
154,1,KYOw02717,3302635401,17020,199,185
155,1,KYOw02717,3302635401,17720,202,217
156,1,KYOw02717,3302635401,18376,205,207
157,1,KYOw02717,3302635401,18919,208,84
158,1,KYOw02717,3302635401,19597,211,96
159,1,KYOw02717,3302635401,20197,213,252
160,1,KYOw02717,3302635401,21035,217,202
161,1,KYOw02717,3302635401,21797,221,78
162,1,KYOw02717,3302635401,22432,224,50
163,1,KYOw02717,3302635401,22925,226,101
164,1,KYOw02717,3302635401,23586,229,99
165,1,KYOw02717,3302635401,24219,232,70
166,1,KYOw02717,3302635401,24927,235,118
167,1,KYOw02717,3302635401,25746,239,57
168,1,KYOw02717,3302635401,26441,242,92
169,1,KYOw02717,3302635401,27053,245,44
170,1,KYOw02717,3302635401,27714,248,48
171,1,KYOw02717,3302635401,28194,250,90
172,1,KYOw02717,3302635401,28832,253,71
173,1,KYOw02717,3302635401,29481,256,63
174,1,KYOw02717,3302635401,30282,259,208
175,1,KYOw02717,3302635401,30935,262,207
176,1,KYOw02717,3302635401,31661,266,61
177,1,KYOw02717,3302635401,32230,268,194
178,1,KYOw02717,3302635401,32866,271,176
179,1,KYOw02717,3302635401,33530,274,187
180,1,KYOw02717,3302635401,34061,277,67
181,1,KYOw02717,3302635401,34600,279,172
182,1,KYOw02717,3302635401,35193,282,114
183,1,KYOw02717,3302635401,35832,285,102
184,1,KYOw02717,3302635401,36410,287,245
185,1,KYOw02717,3302635401,37134,291,104
186,1,KYOw02717,3302635401,37816,294,137
187,1,KYOw02717,3302635401,38342,296,229
188,1,KYOw02717,3302635401,38952,299,188
189,1,KYOw02717,3302635401,39504,302,91
190,1,KYOw02717,3302635401,40263,305,201
191,1,KYOw02717,3302635401,40964,308,254
192,1,KYOw02717,3302635401,41554,311,196
193,1,KYOw02717,3302635401,42064,314,58
194,1,KYOw02717,3302635401,42671,316,233
195,1,KYOw02717,3302635401,43270,319,185
196,1,KYOw02717,3302635401,43927,322,197
197,1,KYOw02717,3302635401,44603,325,228
198,1,KYOw02717,3302635401,45287,329,52
199,1,KYOw02717,3302635401,45919,331,255
200,1,KYOw02717,3302635401,46486,334,180
201,1,KYOw02717,3302635401,47110,337,162
202,1,KYOw02717,3302635401,47591,339,215
203,1,KYOw02717,3302635401,48137,342,119
204,1,KYOw02717,3302635401,48670,344,224
205,1,KYOw02717,3302635401,49302,347,215
206,1,KYOw02717,3302635401,49810,350,84
207,1,KYOw02717,3302635401,50592,353,227
208,1,KYOw02717,3302635401,51130,356,126
209,1,KYOw02717,3302635401,51805,359,162
210,1,KYOw02717,3302635401,52485,362,203
211,1,KYOw02717,3302635401,53114,365,193
212,1,KYOw02717,3302635401,53584,367,237
213,1,KYOw02717,3302635401,54256,371,58
214,1,KYOw02717,3302635401,54945,374,108
215,1,KYOw02717,3302635401,55646,377,170
216,1,KYOw02717,3302635401,56329,380,218
217,1,KYOw02717,3302635401,57026,384,67
218,1,KYOw02717,3302635401,57523,386,140
219,1,KYOw02717,3302635401,58196,389,177
220,1,KYOw02717,3302635401,58846,392,192
221,1,KYOw02717,3302635401,59724,396,226
222,1,KYOw02717,3302635401,60342,399,211
223,1,KYOw02717,3302635401,61169,403,194
224,1,KYOw02717,3302635401,61802,406,194
225,1,KYOw02717,3302635401,62480,409,241
226,1,KYOw02717,3302635401,63090,412,221
227,1,KYOw02717,3302635401,63707,415,208
228,1,KYOw02717,3302635401,64252,418,123
229,1,KYOw02717,3302635401,64809,420,260
230,1,KYOw02717,3302635401,65511,424,123
231,1,KYOw02717,3302635401,66234,427,219
232,1,KYOw02717,3302635401,66975,431,124
233,1,KYOw02717,3302635401,67610,434,132
234,1,KYOw02717,3302635401,68258,437,153
235,1,KYOw02717,3302635401,68899,440,170
236,1,KYOw02717,3302635401,69515,443,162
237,1,KYOw02717,3302635401,70108,446,131
238,1,KYOw02717,3302635401,70593,448,200
239,1,KYOw02717,3302635401,71298,452,74
240,1,KYOw02717,3302635401,72054,455,209
241,1,KYOw02717,3302635401,72717,458,251
242,1,KYOw02717,3302635401,73283,461,196
243,1,KYOw02717,3302635401,73918,464,207
244,1,KYOw02717,3302635401,74546,467,212
245,1,KYOw02717,3302635401,75421,471,259
246,1,KYOw02717,3302635401,76054,475,64
247,1,KYOw02717,3302635401,76708,478,97
248,1,KYOw02717,3302635401,77459,481,229
249,1,KYOw02717,3302635401,78259,485,205
250,1,KYOw02717,3302635401,78767,488,95
251,1,KYOw02717,3302635401,79418,491,128
252,1,KYOw02717,3302635401,80100,494,193
253,1,KYOw02717,3302635401,80696,497,174
254,1,KYOw02717,3302635401,81298,500,166
255,1,KYOw02717,3302635401,82043,514,263
256,1,KYOw02759,725601892,4,76,124
257,1,KYOw02759,725601892,556,79,110
258,1,KYOw02759,725601892,1162,82,60
259,1,KYOw02759,725601892,1735,84,189
260,1,KYOw02759,725601892,2396,87,178
261,1,KYOw02759,725601892,2950,90,58
262,1,KYOw02759,725601892,3615,93,45
263,1,KYOw02759,725601892,4162,95,140
264,1,KYOw02759,725601892,4726,97,252
265,1,KYOw02759,725601892,5411,100,259
266,1,KYOw02759,725601892,5944,103,114
267,1,KYOw02759,725601892,6602,106,94
268,1,KYOw02759,725601892,7347,109,161
269,1,KYOw02759,725601892,7979,112,115
270,1,KYOw02759,725601892,8625,115,86
271,1,KYOw02759,725601892,9228,117,239
272,1,KYOw02759,725601892,9850,120,186
273,1,KYOw02759,725601892,10454,123,117
274,1,KYOw02759,725601892,10947,125,160
275,1,KYOw02759,725601892,11629,128,167
276,1,KYOw02759,725601892,12139,130,227
277,1,KYOw02759,725601892,12885,134,78
278,1,KYOw02759,725601892,13430,136,176
279,1,KYOw02759,725601892,14108,139,185
280,1,KYOw02759,725601892,14630,141,259
281,1,KYOw02759,725601892,15228,144,185
282,1,KYOw02759,725601892,15914,147,199
283,1,KYOw02759,725601892,16599,150,214
284,1,KYOw02759,725601892,17095,152,262
285,1,KYOw02759,725601892,17711,155,208
286,1,KYOw02759,725601892,18189,157,240
287,1,KYOw02759,725601892,18752,160,135
288,1,KYOw02759,725601892,19192,162,129
289,1,KYOw02759,725601892,19714,164,205
290,1,KYOw02759,725601892,20299,167,122
291,1,KYOw02759,725601892,21035,170,189
292,1,KYOw02759,725601892,21733,173,218
293,1,KYOw02759,725601892,22264,176,80
294,1,KYOw02759,725601892,22809,178,179
295,1,KYOw02759,725601892,23330,180,254
296,1,KYOw02759,725601892,23940,183,195
297,1,KYOw02759,725601892,24495,186,81
298,1,KYOw02759,725601892,25169,189,86
299,1,KYOw02759,725601892,25870,192,117
300,1,KYOw02759,725601892,26552,195,130
301,1,KYOw02759,725601892,26980,197,112
302,1,KYOw02759,725601892,27573,199,260
303,1,KYOw02759,725601892,28198,202,216
304,1,KYOw02759,725601892,28821,205,170
305,1,KYOw02759,725601892,29333,207,236
306,1,KYOw02759,725601892,29909,210,143
307,1,KYOw02759,725601892,30412,212,201
308,1,KYOw02759,725601892,31069,215,195
309,1,KYOw02759,725601892,31787,218,250
310,1,KYOw02759,725601892,32328,221,127
311,1,KYOw02759,725601892,32868,223,223
312,1,KYOw02759,725601892,33391,226,80
313,1,KYOw02759,725601892,33946,228,191
314,1,KYOw02759,725601892,34367,230,168
315,1,KYOw02759,725601892,34996,233,131
316,1,KYOw02759,725601892,35591,236,60
317,1,KYOw02759,725601892,36127,238,152
318,1,KYOw02759,725601892,36791,241,149
319,1,KYOw02759,725601892,37422,244,113
320,1,KYOw02759,725601892,37959,246,206
321,1,KYOw02759,725601892,38453,248,256
322,1,KYOw02759,725601892,39122,251,259
323,1,KYOw02759,725601892,39671,254,142
324,1,KYOw02759,725601892,40289,257,97
325,1,KYOw02759,725601892,40941,260,86
326,1,KYOw02759,725601892,41567,262,268
327,1,KYOw02759,725601892,42188,265,220
328,1,KYOw02759,725601892,42780,268,144
329,1,KYOw02759,725601892,43297,270,215
330,1,KYOw02759,725601892,43874,273,123
331,1,KYOw02759,725601892,44555,276,135
332,1,KYOw02759,725601892,45001,278,135
333,1,KYOw02759,725601892,45681,281,147
334,1,KYOw02759,725601892,46234,283,256
335,1,KYOw02759,725601892,46858,286,213
336,1,KYOw02759,725601892,47390,289,76
337,1,KYOw02759,725601892,48046,292,63
338,1,KYOw02759,725601892,48619,294,190
339,1,KYOw02759,725601892,49255,297,157
340,1,KYOw02759,725601892,49933,300,164
341,1,KYOw02759,725601892,50471,302,254
342,1,KYOw02759,725601892,51074,305,185
343,1,KYOw02759,725601892,51592,307,256
344,1,KYOw02759,725601892,52060,310,52
345,1,KYOw02759,725601892,52521,312,64
346,1,KYOw02759,725601892,53218,315,86
347,1,KYOw02759,725601892,53806,317,224
348,1,KYOw02759,725601892,54337,320,82
349,1,KYOw02759,725601892,55031,323,108
350,1,KYOw02759,725601892,55624,325,258
351,1,KYOw02759,725601892,56236,328,213
352,1,KYOw02759,725601892,56713,330,244
353,1,KYOw02759,725601892,57317,333,178
354,1,KYOw02759,725601892,57911,336,103
355,1,KYOw02759,725601892,58546,339,68
356,1,KYOw02759,725601892,59100,341,185
357,1,KYOw02759,725601892,59679,344,99
358,1,KYOw02759,725601892,60195,346,167
359,1,KYOw02759,725601892,60772,349,72
360,1,KYOw02759,725601892,61397,351,250
361,1,KYOw02759,725601892,62022,354,210
362,1,KYOw02759,725601892,62560,357,96
363,1,KYOw02759,725601892,63083,359,194
364,1,KYOw02759,725601892,63615,362,108
365,1,KYOw02759,725601892,64342,365,241
366,1,KYOw02759,725601892,64844,368,148
367,1,KYOw02759,725601892,65356,371,78
368,1,KYOw02759,725601892,65926,374,82
369,1,KYOw02759,725601892,66495,377,100
370,1,KYOw02759,725601892,67116,380,186
371,1,KYOw02759,725601892,67685,383,241
372,1,KYOw02759,725601892,68334,387,227
373,1,KYOw02759,725601892,68916,391,176
374,1,KYOw02759,725601892,69500,395,142
375,1,KYOw02759,725601892,70053,398,244
376,1,KYOw02759,725601892,70590,402,217
377,1,KYOw02759,725601892,71146,406,250
378,1,KYOw02759,725601892,71733,411,197
379,1,KYOw02759,725601892,72272,415,253
380,1,KYOw02759,725601892,72821,420,228
381,1,KYOw02759,725601892,73437,426,218
382,1,KYOw02759,725601892,73971,432,185
383,1,KYOw02759,725601892,74460,437,258
384,1,KYOw02768,1102288240,9,90,102
385,1,KYOw02768,1102288240,535,94,73
386,1,KYOw02768,1102288240,1099,97,200
387,1,KYOw02768,1102288240,1570,101,89
388,1,KYOw02768,1102288240,2074,104,157
389,1,KYOw02768,1102288240,2566,107,214
390,1,KYOw02768,1102288240,3138,111,206
391,1,KYOw02768,1102288240,3741,116,84
392,1,KYOw02768,1102288240,4276,119,176
393,1,KYOw02768,1102288240,4921,123,221
394,1,KYOw02768,1102288240,5445,127,136
395,1,KYOw02768,1102288240,5891,130,115
396,1,KYOw02768,1102288240,6380,133,126
397,1,KYOw02768,1102288240,6814,136,75
398,1,KYOw02768,1102288240,7354,139,137
399,1,KYOw02768,1102288240,7975,143,139
400,1,KYOw02768,1102288240,8410,146,125
401,1,KYOw02768,1102288240,8912,149,167
402,1,KYOw02768,1102288240,9336,152,79
403,1,KYOw02768,1102288240,9831,154,219
404,1,KYOw02768,1102288240,10338,157,215
405,1,KYOw02768,1102288240,10858,160,235
406,1,KYOw02768,1102288240,11347,163,208
407,1,KYOw02768,1102288240,11864,166,175
408,1,KYOw02768,1102288240,12452,169,207
409,1,KYOw02768,1102288240,12964,172,164
410,1,KYOw02768,1102288240,13455,175,99
411,1,KYOw02768,1102288240,13907,177,189
412,1,KYOw02768,1102288240,14462,180,202
413,1,KYOw02768,1102288240,15017,183,204
414,1,KYOw02768,1102288240,15541,186,182
415,1,KYOw02768,1102288240,16156,189,247
416,1,KYOw02768,1102288240,16695,192,228
417,1,KYOw02768,1102288240,17206,195,166
418,1,KYOw02768,1102288240,17670,197,234
419,1,KYOw02768,1102288240,18136,200,92
420,1,KYOw02768,1102288240,18692,202,240
421,1,KYOw02768,1102288240,19209,205,141
422,1,KYOw02768,1102288240,19663,207,186
423,1,KYOw02768,1102288240,20219,210,132
424,1,KYOw02768,1102288240,20747,212,244
425,1,KYOw02768,1102288240,21310,215,176
426,1,KYOw02768,1102288240,21866,218,95
427,1,KYOw02768,1102288240,22473,220,275
428,1,KYOw02768,1102288240,22922,223,83
429,1,KYOw02768,1102288240,23499,225,241
430,1,KYOw02768,1102288240,24005,228,130
431,1,KYOw02768,1102288240,24496,230,217
432,1,KYOw02768,1102288240,24915,232,223
433,1,KYOw02768,1102288240,25424,235,114
434,1,KYOw02768,1102288240,25913,237,191
435,1,KYOw02768,1102288240,26364,239,232
436,1,KYOw02768,1102288240,26843,242,99
437,1,KYOw02768,1102288240,27332,244,182
438,1,KYOw02768,1102288240,27814,246,257
439,1,KYOw02768,1102288240,28281,249,115
440,1,KYOw02768,1102288240,28802,251,232
441,1,KYOw02768,1102288240,29307,254,134
442,1,KYOw02768,1102288240,29879,257,103
443,1,KYOw02768,1102288240,30452,259,269
444,1,KYOw02768,1102288240,31034,262,227
445,1,KYOw02768,1102288240,31541,265,104
446,1,KYOw02768,1102288240,32084,267,225
447,1,KYOw02768,1102288240,32616,270,128
448,1,KYOw02768,1102288240,33163,272,257
449,1,KYOw02768,1102288240,33564,274,241
450,1,KYOw02768,1102288240,34127,277,173
451,1,KYOw02768,1102288240,34645,279,273
452,1,KYOw02768,1102288240,35076,282,67
453,1,KYOw02768,1102288240,35493,283,278
454,1,KYOw02768,1102288240,35940,285,285
455,1,KYOw02768,1102288240,36469,288,148
456,1,KYOw02768,1102288240,37008,290,243
457,1,KYOw02768,1102288240,37557,293,126
458,1,KYOw02768,1102288240,38125,295,260
459,1,KYOw02768,1102288240,38695,298,192
460,1,KYOw02768,1102288240,39029,300,104
461,1,KYOw02768,1102288240,39699,303,144
462,1,KYOw02768,1102288240,40221,305,246
463,1,KYOw02768,1102288240,40738,308,136
464,1,KYOw02768,1102288240,41298,310,278
465,1,KYOw02768,1102288240,41777,313,133
466,1,KYOw02768,1102288240,42346,315,283
467,1,KYOw02768,1102288240,42895,318,198
468,1,KYOw02768,1102288240,43446,321,96
469,1,KYOw02768,1102288240,44047,323,258
470,1,KYOw02768,1102288240,44469,325,238
471,1,KYOw02768,1102288240,45019,328,126
472,1,KYOw02768,1102288240,45496,330,160
473,1,KYOw02768,1102288240,46055,332,276
474,1,KYOw02768,1102288240,46551,335,105
475,1,KYOw02768,1102288240,47065,337,173
476,1,KYOw02768,1102288240,47514,339,174
477,1,KYOw02768,1102288240,48041,341,253
478,1,KYOw02768,1102288240,48593,344,133
479,1,KYOw02768,1102288240,49237,347,107
480,1,KYOw02768,1102288240,49754,349,175
481,1,KYOw02768,1102288240,50233,351,207
482,1,KYOw02768,1102288240,50794,354,97
483,1,KYOw02768,1102288240,51272,356,125
484,1,KYOw02768,1102288240,51839,358,244
485,1,KYOw02768,1102288240,52344,361,76
486,1,KYOw02768,1102288240,52835,363,117
487,1,KYOw02768,1102288240,53334,365,166
488,1,KYOw02768,1102288240,53925,368,86
489,1,KYOw02768,1102288240,54401,370,114
490,1,KYOw02768,1102288240,54930,372,196
491,1,KYOw02768,1102288240,55487,375,92
492,1,KYOw02768,1102288240,56038,377,236
493,1,KYOw02768,1102288240,56524,380,87
494,1,KYOw02768,1102288240,57134,383,77
495,1,KYOw02768,1102288240,57626,385,166
496,1,KYOw02768,1102288240,58090,387,209
497,1,KYOw02768,1102288240,58610,390,81
498,1,KYOw02768,1102288240,59173,392,214
499,1,KYOw02768,1102288240,59616,394,211
500,1,KYOw02768,1102288240,60167,397,93
501,1,KYOw02768,1102288240,60659,399,139
502,1,KYOw02768,1102288240,61267,402,78
503,1,KYOw02768,1102288240,61719,404,86
504,1,KYOw02768,1102288240,62212,406,158
505,1,KYOw02768,1102288240,62742,409,77
506,1,KYOw02768,1102288240,63245,411,206
507,1,KYOw02768,1102288240,63686,413,265
508,1,KYOw02768,1102288240,64180,416,224
509,1,KYOw02768,1102288240,64678,422,247
510,1,KYOw02768,1102288240,65320,437,283
511,1,KYOw02768,1102288240,65886,453,267
512,1,KYOw02777,1368672142,21,34,80
513,1,KYOw02777,1368672142,882,45,106
514,1,KYOw02777,1368672142,1787,55,169
515,1,KYOw02777,1368672142,2717,61,147
516,1,KYOw02777,1368672142,3865,67,159
517,1,KYOw02777,1368672142,4666,71,164
518,1,KYOw02777,1368672142,5731,76,221
519,1,KYOw02777,1368672142,6784,82,53
520,1,KYOw02777,1368672142,7935,87,189
521,1,KYOw02777,1368672142,8860,92,87
522,1,KYOw02777,1368672142,9975,97,176
523,1,KYOw02777,1368672142,10954,102,119
524,1,KYOw02777,1368672142,11866,106,202
525,1,KYOw02777,1368672142,12735,110,241
526,1,KYOw02777,1368672142,13737,115,215
527,1,KYOw02777,1368672142,14702,120,165
528,1,KYOw02777,1368672142,15932,126,175
529,1,KYOw02777,1368672142,16787,130,222
530,1,KYOw02777,1368672142,17683,135,94
531,1,KYOw02777,1368672142,18558,139,114
532,1,KYOw02777,1368672142,19392,143,90
533,1,KYOw02777,1368672142,20370,147,210
534,1,KYOw02777,1368672142,21249,151,230
535,1,KYOw02777,1368672142,22281,156,187
536,1,KYOw02777,1368672142,23223,160,258
537,1,KYOw02777,1368672142,24065,164,234
538,1,KYOw02777,1368672142,25052,169,132
539,1,KYOw02777,1368672142,25845,173,52
540,1,KYOw02777,1368672142,26966,178,71
541,1,KYOw02777,1368672142,28040,182,265
542,1,KYOw02777,1368672142,28919,186,266
543,1,KYOw02777,1368672142,29774,190,238
544,1,KYOw02777,1368672142,30804,195,167
545,1,KYOw02777,1368672142,31900,200,160
546,1,KYOw02777,1368672142,32880,204,256
547,1,KYOw02777,1368672142,33869,209,140
548,1,KYOw02777,1368672142,34776,213,162
549,1,KYOw02777,1368672142,35679,217,180
550,1,KYOw02777,1368672142,36639,221,258
551,1,KYOw02777,1368672142,37573,226,103
552,1,KYOw02777,1368672142,38283,229,169
553,1,KYOw02777,1368672142,39168,233,196
554,1,KYOw02777,1368672142,40150,238,99
555,1,KYOw02777,1368672142,41006,242,93
556,1,KYOw02777,1368672142,42115,247,128
557,1,KYOw02777,1368672142,43014,251,160
558,1,KYOw02777,1368672142,43767,254,259
559,1,KYOw02777,1368672142,44667,259,71
560,1,KYOw02777,1368672142,45653,263,187
561,1,KYOw02777,1368672142,46694,268,136
562,1,KYOw02777,1368672142,47579,272,143
563,1,KYOw02777,1368672142,48468,276,152
564,1,KYOw02777,1368672142,49394,280,195
565,1,KYOw02777,1368672142,50399,285,100
566,1,KYOw02777,1368672142,51351,289,174
567,1,KYOw02777,1368672142,52149,293,89
568,1,KYOw02777,1368672142,53280,298,118
569,1,KYOw02777,1368672142,54299,302,255
570,1,KYOw02777,1368672142,55340,307,205
571,1,KYOw02777,1368672142,56130,311,116
572,1,KYOw02777,1368672142,56981,315,86
573,1,KYOw02777,1368672142,57874,319,99
574,1,KYOw02777,1368672142,58923,323,268
575,1,KYOw02777,1368672142,59964,328,212
576,1,KYOw02777,1368672142,60975,333,121
577,1,KYOw02777,1368672142,61917,337,183
578,1,KYOw02777,1368672142,62858,341,250
579,1,KYOw02777,1368672142,63797,346,89
580,1,KYOw02777,1368672142,64808,350,223
581,1,KYOw02777,1368672142,65801,355,117
582,1,KYOw02777,1368672142,66687,359,128
583,1,KYOw02777,1368672142,67625,363,189
584,1,KYOw02777,1368672142,68460,367,164
585,1,KYOw02777,1368672142,69510,372,167
586,1,KYOw02777,1368672142,70582,377,189
587,1,KYOw02777,1368672142,71373,381,153
588,1,KYOw02777,1368672142,72302,385,249
589,1,KYOw02777,1368672142,73254,390,158
590,1,KYOw02777,1368672142,74365,395,222
591,1,KYOw02777,1368672142,75318,400,119
592,1,KYOw02777,1368672142,76376,405,119
593,1,KYOw02777,1368672142,77344,409,227
594,1,KYOw02777,1368672142,78319,414,128
595,1,KYOw02777,1368672142,79155,418,104
596,1,KYOw02777,1368672142,80133,422,219
597,1,KYOw02777,1368672142,81308,428,110
598,1,KYOw02777,1368672142,82109,431,264
599,1,KYOw02777,1368672142,82993,435,274
600,1,KYOw02777,1368672142,83941,440,128
601,1,KYOw02777,1368672142,84843,444,174
602,1,KYOw02777,1368672142,85718,448,200
603,1,KYOw02777,1368672142,86817,453,244
604,1,KYOw02777,1368672142,87614,457,192
605,1,KYOw02777,1368672142,88740,462,253
606,1,KYOw02777,1368672142,89738,467,187
607,1,KYOw02777,1368672142,90727,472,111
608,1,KYOw02777,1368672142,91737,476,260
609,1,KYOw02777,1368672142,92739,481,195
610,1,KYOw02777,1368672142,93760,486,166
