condition,contrast,cluster,kind,wavelength_nm,difference,aggregation
A1,A1-M00,1,reflectance,913.1,-0.009417521733045886,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1388.184823529412,0.018592076257490153,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1393.6455686274512,0.01872158289652126,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1399.1063137254903,0.018816053268762067,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1404.5670588235296,0.01898364076467668,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1410.0278039215686,0.019174545887444328,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1415.488549019608,0.019321678030783884,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1420.9492941176472,0.01944113651194357,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1426.4100392156865,0.019543681060681495,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1431.8707843137256,0.019491681710336883,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1437.3315294117647,0.019460646762057,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1442.792274509804,0.019460975163641925,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1448.2530196078433,0.01948775639628575,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1453.7137647058826,0.01949080299555017,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1459.1745098039219,0.019495679831025292,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1464.635254901961,0.019548052250188686,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1470.096,0.01963492368254177,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1475.5567450980393,0.01965250671273544,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1481.0174901960786,0.01967802330909546,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1486.478235294118,0.01973896017284288,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1491.938980392157,0.019776881421140258,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1497.3997254901963,0.01980995175329847,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1502.8604705882353,0.01985284636567075,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1508.3212156862746,0.019900203172521613,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1513.781960784314,0.01996826711531846,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1519.2427058823532,0.019977329323992876,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1524.7034509803923,0.02005809559522026,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1530.1641960784316,0.02006655244581257,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1535.6249411764707,0.020052907652090057,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1541.08568627451,0.020054356719874766,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1546.5464313725493,0.020068808104024616,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1552.0071764705885,0.020082495220040297,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1557.4679215686276,0.02009331437747547,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1562.9286666666667,0.020036037903204684,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1568.389411764706,0.02005411110990163,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1573.8501568627453,0.020087571999460874,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1579.3109019607846,0.020059990893666613,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1584.7716470588239,0.020026298786631924,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1590.232392156863,0.020073290366477647,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1595.693137254902,0.020029414981385163,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1601.1538823529413,0.019973422912723138,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1606.6146274509806,0.019907940532770285,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1612.07537254902,0.01981490759229243,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1617.536117647059,0.01969718037324597,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1622.9968627450983,0.01957399160719392,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1628.4576078431373,0.01944683861301144,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1633.9183529411766,0.019295004831361262,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1639.379098039216,0.01919982888859323,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1644.8398431372552,0.01909095279802503,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1650.3005882352943,0.018911922110670498,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1655.7613333333334,0.018668844755925007,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1661.2220784313727,0.018423108157717694,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1666.682823529412,0.01821634513875897,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1672.1435686274513,0.018055878298920247,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1677.6043137254906,0.01795365842534774,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1683.0650588235296,0.01771026885764837,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1688.5258039215687,0.01764109516028206,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1693.986549019608,0.017514545327574016,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1699.4472941176473,0.017419985772848035,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1704.9080392156866,0.017424162205847638,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1710.3687843137257,0.017482425419024783,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1715.829529411765,0.017502220911662758,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1721.290274509804,0.017614425182827298,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1726.7510196078433,0.01753048003443597,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1732.2117647058826,0.017483972954360827,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1737.672509803922,0.01752900711176003,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1743.133254901961,0.017612804480588218,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1748.594,0.01762776465504029,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1754.0547450980393,0.017578782308855234,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1759.5154901960786,0.017738384411335073,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1764.976235294118,0.017791751811607914,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1770.4369803921572,0.01784605208658202,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1775.8977254901963,0.017906630334757756,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1781.3584705882354,0.017923737043525012,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1786.8192156862747,0.01791592003974185,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1792.279960784314,0.017912978375613064,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1797.7407058823533,0.017914665752265524,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1803.2014509803923,0.017988159123984437,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1808.6621960784316,0.01798509263678494,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1814.1229411764707,0.017912888795844906,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1819.58368627451,0.017902939007195307,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1825.0444313725493,0.017844742109693,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1830.5051764705886,0.017802704068024422,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1835.9659215686277,0.01787219486639985,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1841.4266666666667,0.01781538562562973,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1846.887411764706,0.017758004601680755,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1852.3481568627453,0.017810162282070163,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1857.8089019607846,0.01792553699164129,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1863.269647058824,0.017979622069743573,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1868.730392156863,0.017979833929602507,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1874.191137254902,0.017986553666834215,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1879.6518823529414,0.0180163965767412,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1885.1126274509807,0.018013292024764427,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1890.57337254902,0.017903676327498286,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1896.034117647059,0.017732623691374627,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1901.4948627450983,0.01750762446934584,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1906.9556078431374,0.0173837668797161,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1912.4163529411767,0.01728492006592175,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1917.877098039216,0.017065581836817112,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1923.3378431372553,0.016774381749705358,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1928.7985882352943,0.016380526147129232,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1934.2593333333336,0.016277833101471934,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1939.7200784313727,0.01626777747313818,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1945.180823529412,0.016311119327388962,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1950.6415686274513,0.016294842397225617,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1956.1023137254906,0.0162553486283121,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1961.5630588235294,0.016298693729769193,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1967.0238039215687,0.016281373702833002,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1972.484549019608,0.01632777974488897,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1977.9452941176473,0.01632460450171558,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1983.4060392156866,0.016304347438364675,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1988.866784313726,0.016105286452590795,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1994.3275294117648,0.01592491127319784,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,1999.788274509804,0.015829736134115424,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2005.2490196078434,0.015571541525150001,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2010.7097647058827,0.015491847332453346,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2016.170509803922,0.015494179285781173,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2021.6312549019613,0.015437299008570882,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2027.092,0.01537305118878074,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2032.5527450980394,0.015273998691735124,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2038.0134901960787,0.015095086931821489,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2043.474235294118,0.014890041934418785,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2048.9349803921573,0.014853937611871315,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2054.3957254901966,0.014991952258136931,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2059.8564705882354,0.014962343868314854,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2065.3172156862747,0.01497394647622452,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2070.777960784314,0.015009000761200375,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2076.2387058823533,0.014865835078233136,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2081.6994509803926,0.014803210232937403,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2087.1601960784315,0.015108195363865762,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2092.6209411764708,0.014898593400621774,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2098.08168627451,0.014921678805987826,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2103.5424313725493,0.015255911672814981,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2109.0031764705886,0.015220089299242734,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2114.463921568628,0.01527402644064546,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2119.924666666667,0.015284790378049917,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2125.385411764706,0.015220661758539311,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2130.8461568627454,0.015454661404662395,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2136.3069019607847,0.015332292680337423,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2141.767647058824,0.015490225105777078,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2147.2283921568633,0.015632328715355026,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2152.689137254902,0.015595007397541882,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2158.1498823529414,0.015758954582700435,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2163.6106274509807,0.015941031093237745,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2169.07137254902,0.01587002237149604,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2174.5321176470593,0.015918278700823962,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2179.992862745098,0.016072408257267634,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2185.4536078431374,0.015972360635353844,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2190.9143529411767,0.015897732446283286,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2196.375098039216,0.015717990658061343,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2201.8358431372553,0.015752783665997305,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2207.2965882352946,0.015800317447905277,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2212.7573333333335,0.015589631996036635,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2218.2180784313728,0.01589576734371434,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2223.678823529412,0.01572154897522343,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2229.1395686274514,0.015954829114530444,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2234.6003137254907,0.01569027692880781,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2240.06105882353,0.015542700094146378,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2245.521803921569,0.015497705122239247,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2250.982549019608,0.015266620144480436,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2256.4432941176474,0.014725227160077237,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2261.9040392156867,0.013913433053929752,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2267.364784313726,0.013619806145521551,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2272.825529411765,0.013223394334248378,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2278.286274509804,0.012300485749828977,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2283.7470196078434,0.00999880012669413,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2289.2077647058827,0.0076343859557205795,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2294.668509803922,0.007287838902478777,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2300.1292549019613,0.008651992431993272,difference of equal-sample representative means; not paired
A1,A1-M00,1,reflectance,2305.59,0.005346941513808018,difference of equal-sample representative means; not paired
A1,A1-M00,1,snv,913.1,-0.15496539856284242,difference of equal-sample representative means; not paired
A1,A1-M00,1,snv,918.5607450980392,-0.11640460327415281,difference of equal-sample representative means; not paired
A1,A1-M00,1,snv,924.0214901960785,-0.08649033401159589,difference of equal-sample representative means; not paired
A1,A1-M00,1,snv,929.4822352941177,-0.06585156003793413,difference of equal-sample representative means; not paired
A1,A1-M00,1,snv,934.9429803921569,-0.05281914387803477,difference of equal-sample representative means; not paired
A1,A1-M00,1,snv,940.4037254901962,-0.04475644697970349,difference of equal-sample representative means; not paired
A1,A1-M00,1,snv,945.8644705882353,-0.03941103505007648,difference of equal-sample representative means; not paired
A1,A1-M00,1,snv,951.3252156862745,-0.035924324416240605,difference of equal-sample representative means; not paired
A1,A1-M00,1,snv,956.7859607843137,-0.03316260361900869,difference of equal-sample representative means; not paired
A1,A1-M00,1,snv,962.246705882353,-0.029690243382022308,difference of equal-sample representative means; not paired
A1,A1-M00,1,snv,967.7074509803922,-0.02805937620482446,difference of equal-sample representative means; not paired
A1,A1-M00,1,snv,973.1681960784314,-0.025902195094010372,difference of equal-sample representative means; not paired
A1,A1-M00,1,snv,978.6289411764706,-0.023389307545401916,difference of equal-sample representative means; not paired
A1,A1-M00,1,snv,984.0896862745099,-0.021640908187042784,difference of equal-sample representative means; not paired
A1,A1-M00,1,snv,989.550431372549,-0.019438094954693064,difference of equal-sample representative means; not paired
A1,A1-M00,1,snv,995.0111764705882,-0.018603439524014664,difference of equal-sample representative means; not paired
A1,A1-M00,1,snv,1000.4719215686275,-0.017541215606539762,difference of equal-sample representative means; not paired
A1,A1-M00,1,snv,1005.9326666666667,-0.017152141139716415,difference of equal-sample representative means; not paired
A1,A1-M00,1,snv,1011.3934117647059,-0.01635773411248298,difference of equal-sample representative means; not paired
A1,A1-M00,1,snv,1016.8541568627452,-0.01541972613942022,difference of equal-sample representative means; not paired
A1,A1-M00,1,snv,1022.3149019607844,-0.014756572349297503,difference of equal-sample representative means; not paired
A1,A1-M00,1,snv,1027.7756470588236,-0.013886295947632243,difference of equal-sample representative means; not paired
A1,A1-M00,1,snv,1033.2363921568628,-0.012437268780765676,difference of equal-sample representative means; not paired
A1,A1-M00,1,snv,1038.697137254902,-0.012216053166132834,difference of equal-sample representative means; not paired
